user_id,user_username,post_id,likedAt
6,qmoura_6,1,2025-12-07T03:44:55.853781
38,luna17_38,1,2025-12-05T18:44:55.853781
7,natalia93_7,1,2025-12-06T16:44:55.853781
33,da-rochapedro-miguel_33,1,2025-12-07T06:44:55.853781
9,anthony-gabrielbarbosa_9,1,2025-12-06T07:44:55.853781
41,liamdas-neves_41,1,2025-12-06T00:44:55.853781
26,teixeiragabrielly_26,1,2025-12-06T20:44:55.853781
5,pgoncalves_5,1,2025-12-07T10:44:55.853781
49,lunna09_49,1,2025-12-07T15:44:55.853781
37,da-conceicaoalicia_37,1,2025-12-08T06:44:55.853781
4,pereiraluigi_4,1,2025-12-05T19:44:55.853781
28,souzavalentina_28,1,2025-12-07T03:44:55.853781
46,duartedaniel_46,1,2025-12-06T22:44:55.853781
16,viniciuscastro_16,1,2025-12-06T11:44:55.853781
19,pietroalves_19,1,2025-12-05T16:44:55.853781
17,ccardoso_17,1,2025-12-07T16:44:55.853781
21,natalia46_21,1,2025-12-07T22:44:55.853781
44,mayaandrade_44,1,2025-12-08T12:44:55.853781
34,maria-sophiada-mota_34,1,2025-12-08T11:44:55.853781
11,aragaovalentina_11,1,2025-12-06T20:44:55.853781
15,gustavo-henrique24_15,1,2025-12-06T01:44:55.853781
42,dda-cruz_42,1,2025-12-08T00:44:55.853781
8,jose-miguelribeiro_8,1,2025-12-06T02:44:55.853781
3,novaesana-beatriz_3,1,2025-12-06T06:44:55.853781
48,ada-mota_48,1,2025-12-06T04:44:55.853781
43,ccassiano_43,1,2025-12-05T14:44:55.853781
36,rebecagarcia_36,1,2025-12-05T20:44:55.853781
40,igor68_40,1,2025-12-06T17:44:55.853781
25,raquel73_25,1,2025-12-06T05:44:55.853781
23,oleao_23,1,2025-12-06T14:44:55.853781
50,vda-rocha_50,1,2025-12-07T16:44:55.853781
30,pastorryan_30,1,2025-12-07T12:44:55.853781
24,jaragao_24,1,2025-12-05T23:44:55.853781
31,ucavalcanti_31,1,2025-12-06T22:44:55.853781
14,kpinto_14,1,2025-12-05T22:44:55.853781
2,rfernandes_2,1,2025-12-05T15:44:55.853781
29,maria-florsampaio_29,1,2025-12-05T21:44:55.853781
20,luiza98_20,1,2025-12-06T14:44:55.853781
32,mariahcunha_32,1,2025-12-07T21:44:55.853781
39,maria-isismoreira_39,1,2025-12-06T05:44:55.853781
22,cmacedo_22,1,2025-12-06T00:44:55.853781
35,da-cunhamaria-liz_35,1,2025-12-07T07:44:55.853781
10,ribeirolorena_10,1,2025-12-06T04:44:55.853781
47,rda-paz_47,1,2025-12-05T18:44:55.853781
1,alvesyan_1,1,2025-12-08T00:44:55.853781
13,isiscampos_13,1,2025-12-05T19:44:55.853781
18,luiz-gustavojesus_18,1,2025-12-06T10:44:55.853781
28,souzavalentina_28,2,2026-02-01T10:44:55.853802
47,rda-paz_47,2,2026-02-02T02:44:55.853802
26,teixeiragabrielly_26,2,2026-02-02T10:44:55.853802
32,mariahcunha_32,2,2026-02-02T03:44:55.853802
2,rfernandes_2,2,2026-02-01T09:44:55.853802
25,raquel73_25,2,2026-02-02T13:44:55.853802
44,mayaandrade_44,2,2026-02-02T05:44:55.853802
50,vda-rocha_50,2,2026-02-01T06:44:55.853802
12,mcassiano_12,2,2026-02-01T14:44:55.853802
23,oleao_23,2,2026-01-31T23:44:55.853802
14,kpinto_14,2,2026-01-31T12:44:55.853802
42,dda-cruz_42,2,2026-01-30T16:44:55.853802
18,luiz-gustavojesus_18,2,2026-02-01T05:44:55.853802
38,luna17_38,2,2026-01-31T17:44:55.853802
29,maria-florsampaio_29,2,2026-01-30T16:44:55.853802
10,ribeirolorena_10,2,2026-02-01T00:44:55.853802
3,novaesana-beatriz_3,2,2026-01-30T20:44:55.853802
16,viniciuscastro_16,2,2026-02-02T01:44:55.853802
19,pietroalves_19,2,2026-02-02T08:44:55.853802
33,da-rochapedro-miguel_33,2,2026-02-01T10:44:55.853802
40,igor68_40,2,2026-01-31T18:44:55.853802
36,rebecagarcia_36,2,2026-01-31T09:44:55.853802
37,da-conceicaoalicia_37,2,2026-01-31T01:44:55.853802
31,ucavalcanti_31,2,2026-01-31T20:44:55.853802
46,duartedaniel_46,2,2026-01-31T19:44:55.853802
34,maria-sophiada-mota_34,2,2026-01-31T23:44:55.853802
9,anthony-gabrielbarbosa_9,2,2026-02-02T09:44:55.853802
13,isiscampos_13,2,2026-01-30T20:44:55.853802
5,pgoncalves_5,2,2026-01-31T17:44:55.853802
30,pastorryan_30,2,2026-02-01T14:44:55.853802
7,natalia93_7,2,2026-02-01T10:44:55.853802
17,ccardoso_17,2,2026-01-31T11:44:55.853802
8,jose-miguelribeiro_8,2,2026-01-31T11:44:55.853802
1,alvesyan_1,2,2026-01-31T19:44:55.853802
41,liamdas-neves_41,2,2026-02-01T05:44:55.853802
27,goncalvesbenjamim_27,2,2026-02-01T10:44:55.853802
2,rfernandes_2,3,2026-01-30T11:44:55.853820
46,duartedaniel_46,3,2026-01-28T22:44:55.853820
45,odias_45,3,2026-01-30T12:44:55.853820
23,oleao_23,3,2026-01-30T15:44:55.853820
37,da-conceicaoalicia_37,3,2026-01-29T01:44:55.853820
49,lunna09_49,3,2026-01-30T08:44:55.853820
10,ribeirolorena_10,3,2026-01-30T03:44:55.853820
48,ada-mota_48,3,2026-01-30T06:44:55.853820
13,isiscampos_13,3,2026-01-29T06:44:55.853820
32,mariahcunha_32,3,2026-01-29T09:44:55.853820
35,da-cunhamaria-liz_35,3,2026-01-30T20:44:55.853820
20,luiza98_20,3,2026-01-31T03:44:55.853820
